,date,latitude,longitude,depth,x(m),y(m),z(m),magnitude,x(km),y(km),z(km)
0,2014-05-31 14:43:44.860,37.659965,-118.84846999999999,6.39,252.3,477.4,398.5,0.33,3.226038842759665,2.5728548231425896,6.3660000000000005
1,2014-05-31 14:56:51.380,37.659709,-118.848446,6.393,254.0,448.9,401.7,0.68,3.25231024258528,2.7011593107099388,6.39
2,2014-05-31 14:57:03.350,37.660083,-118.84836399999999,6.324,261.5,490.4,332.4,0.59,3.254981910363196,2.6727458580022545,6.393
3,2014-05-31 14:57:48.770,37.660482,-118.848381,6.382999999999999,259.9,534.7,391.6,0.26,3.291272064355995,2.8063778885314927,6.265
4,2014-05-31 14:58:26.090,37.659741,-118.84843799999999,6.437,255.0,452.5,446.0,0.78,3.249638574807364,2.779740272289068,6.454
5,2014-05-31 15:12:46.460,37.658809000000005,-118.848706,6.3660000000000005,231.2,349.1,375.2,1.07,3.221474743639531,2.541333655312954,6.348
6,2014-05-31 15:23:30.660,37.659859000000004,-118.84836399999999,6.295,261.2,465.4,303.7,0.83,3.2858174093089443,2.791505219329253,6.273
7,2014-05-31 15:25:48.560,37.659583000000005,-118.848454,6.274,253.8,434.8,282.4,0.3,3.2641101086091293,2.689394365298578,6.295
8,2014-05-31 15:27:49.350,37.660775,-118.84821799999999,6.322,274.5,567.4,330.4,0.58,3.253200798509363,2.8307957043734095,6.3839999999999995
9,2014-05-31 15:28:19.110,37.660636,-118.84821000000001,6.2860000000000005,275.3,551.7,295.2,0.41,3.2087843216887655,2.5209114910538895,6.434
10,2014-05-31 15:30:38.180,37.660779,-118.848169,6.273,278.5,567.6,281.7,0.39,3.2731269873581796,2.732791476310903,6.2989999999999995
11,2014-05-31 15:31:15.220,37.660534999999996,-118.848275,6.292000000000001,269.4,540.8,301.3,0.86,3.2622176772640783,2.7585411701421996,6.382999999999999
12,2014-05-31 15:31:24.430,37.660482,-118.848226,6.276,273.8,534.6,285.1,1.38,3.2604365654130794,2.653322600027387,6.523
13,2014-05-31 15:31:51.710,37.658569,-118.848747,6.3420000000000005,227.8,322.5,351.0,1.58,3.2540913544362793,2.6121452950307127,6.49
14,2014-05-31 15:32:50.490,37.66025,-118.84828300000001,6.2989999999999995,268.7,509.1,307.7,0.26,3.2540913544362793,2.658761112202501,6.274
15,2014-05-31 15:33:54.180,37.660189,-118.84831499999999,6.289,265.8,502.4,297.7,0.35,3.2468555875353973,2.811372441697983,6.419
16,2014-05-31 15:35:44.940,37.658525,-118.848747,6.348,227.6,317.4,357.2,0.28,3.2704553195802633,2.716031977854556,6.49
17,2014-05-31 15:35:57.910,37.660913,-118.84812,6.265,282.8,582.6,273.3,0.48,3.255872466290113,2.67629753952321,6.437
18,2014-05-31 15:37:06.040,37.660334999999996,-118.848348,6.452999999999999,262.8,518.4,462.0,0.79,3.2794721983349784,2.7585411701421996,6.276
19,2014-05-31 15:54:43.760,37.658403,-118.84881999999999,6.365,221.0,304.0,374.0,0.26,3.259546009486163,2.653766560203263,6.468999999999999
20,2014-05-31 16:11:49.020,37.661357,-118.84831499999999,6.343,265.9,631.7,351.7,1.16,3.2468555875353973,2.6352312231181685,6.505
21,2014-05-31 16:25:25.100,37.659538,-118.848405,6.468999999999999,257.7,429.9,477.4,1.27,0.0,0.0,8.366
22,2014-05-31 16:31:06.740,37.660958,-118.848519,6.419,247.9,587.4,427.9,0.63,3.221474743639531,2.5462172164269203,6.3420000000000005
23,2014-05-31 16:56:52.160,37.658341,-118.84886100000001,6.434,217.7,297.1,443.2,0.21,3.29483428806366,2.6365631036100057,6.492000000000001
24,2014-05-31 17:17:03.800,37.635628000000004,-118.87768600000001,8.366,-2326.6,-2223.9,2375.1,0.94,3.2740175432850958,2.764423643442645,6.292000000000001
25,2014-05-31 17:24:38.800,37.661133,-118.84846200000001,6.3839999999999995,252.7,607.0,392.7,0.63,3.2658912204601287,2.742225631260083,6.452999999999999
26,2014-05-31 17:53:48.640,37.660090999999994,-118.84835600000001,6.475,261.8,491.5,483.9,0.22,3.258655453559246,2.7526586968925124,6.474
27,2014-05-31 17:54:30.080,37.660099,-118.848307,6.49,266.6,492.3,498.3,1.12,3.2695647636561795,2.726021082842716,6.289
28,2014-05-31 18:02:21.680,37.660429,-118.848413,6.474,256.8,529.1,483.1,0.57,3.2812533101859778,2.775633639883331,6.2860000000000005
29,2014-05-31 18:07:20.880,37.660672999999996,-118.84849399999999,6.454,249.8,555.7,462.5,0.89,3.2650006645332126,2.715144057417682,6.475
30,2014-05-31 18:16:59.840,37.660738,-118.84850300000001,6.425,249.5,563.0,433.5,1.08,3.256874341705414,2.6442214164888047,6.52
31,2014-05-31 18:51:53.020,37.65988,-118.848324,6.478,264.8,467.7,486.3,0.79,3.2685628882380446,2.6917251563526543,6.478
32,2014-05-31 19:07:54.160,37.660982000000004,-118.84835600000001,6.407,262.0,590.2,416.2,0.39,3.2695647636561795,2.8556574814419804,6.343
33,2014-05-31 19:58:58.540,37.659534,-118.84839699999999,6.523,258.2,429.5,531.8,0.31,3.2641101086091293,2.714256136983031,6.324
