,date,latitude,longitude,depth,x(m),y(m),z(m),magnitude,x(km),y(km),z(km)
0,2014-05-31 14:43:44.860,37.659965,-118.84846999999999,6.39,252.3,477.4,398.5,0.67,4.072178292164067,4.4244906127835435,5.369
1,2014-05-31 14:56:51.380,37.659709,-118.848446,6.393,254.0,448.9,401.7,0.34,3.8293904827765646,4.670111542263772,5.87
2,2014-05-31 14:57:03.350,37.660083,-118.84836399999999,6.324,261.5,490.4,332.4,0.45,4.377416335878765,4.552240122190857,5.982
3,2014-05-31 14:57:48.770,37.660482,-118.848381,6.382999999999999,259.9,534.7,391.6,1.12,4.125611647736548,4.71484053303923,5.502999999999999
4,2014-05-31 14:58:26.090,37.659741,-118.84843799999999,6.437,255.0,452.5,446.0,0.82,4.206206959061559,3.0249081367741133,5.499
5,2014-05-31 15:12:46.460,37.658809000000005,-118.848706,6.3660000000000005,231.2,349.1,375.2,0.62,4.159118814463045,4.150345355491998,5.412000000000001
6,2014-05-31 15:23:30.660,37.659859000000004,-118.84836399999999,6.295,261.2,465.4,303.7,0.64,4.273221292508889,4.782100510048038,5.962999999999999
7,2014-05-31 15:25:48.560,37.659583000000005,-118.848454,6.274,253.8,434.8,282.4,1.08,4.496082913047576,3.7637674412755797,5.266
8,2014-05-31 15:27:49.350,37.660775,-118.84821799999999,6.322,274.5,567.4,330.4,1.42,4.179935559238777,4.133585871836836,5.412999999999999
9,2014-05-31 15:28:19.110,37.660636,-118.84821000000001,6.2860000000000005,275.3,551.7,295.2,1.26,4.379197447729766,3.461098071255009,5.84
10,2014-05-31 15:30:38.180,37.660779,-118.848169,6.273,278.5,567.6,281.7,0.72,4.0087261824215705,3.9475667311282407,5.4
11,2014-05-31 15:31:15.220,37.660534999999996,-118.848275,6.292000000000001,269.4,540.8,301.3,2.52,3.993364092692888,4.450684254724689,5.372000000000001
12,2014-05-31 15:31:24.430,37.660482,-118.848226,6.276,273.8,534.6,285.1,0.27,4.211661614108609,4.779436748450319,5.5089999999999995
13,2014-05-31 15:31:51.710,37.658569,-118.848747,6.3420000000000005,227.8,322.5,351.0,0.76,1.1632886349367242,2.1197872046886417,8.67
14,2014-05-31 15:32:50.490,37.66025,-118.84828300000001,6.2989999999999995,268.7,509.1,307.7,0.99,4.331218747204335,4.163442170834403,5.712999999999999
15,2014-05-31 15:33:54.180,37.660189,-118.84831499999999,6.289,265.8,502.4,297.7,1.31,4.408251834824514,3.571754953378014,5.894
16,2014-05-31 15:35:44.940,37.658525,-118.848747,6.348,227.6,317.4,357.2,0.41,3.884604950202877,4.6137286004404094,6.007000000000001
17,2014-05-31 15:35:57.910,37.660913,-118.84812,6.265,282.8,582.6,273.3,0.89,4.004162083298604,4.2374724794441585,6.707999999999999
18,2014-05-31 15:37:06.040,37.660334999999996,-118.848348,6.452999999999999,262.8,518.4,462.0,0.34,4.312183114282436,4.274543131884851,7.034
19,2014-05-31 15:54:43.760,37.658403,-118.84881999999999,6.365,221.0,304.0,374.0,1.68,4.341237501377185,3.3897316065727927,5.801
20,2014-05-31 16:11:49.020,37.661357,-118.84831499999999,6.343,265.9,631.7,351.7,0.81,4.1355190824181784,4.348129493115724,5.593
21,2014-05-31 16:25:25.100,37.659538,-118.848405,6.468999999999999,257.7,429.9,477.4,0.79,4.178154447384945,4.203620538183579,5.542000000000001
22,2014-05-31 16:31:06.740,37.660958,-118.848519,6.419,247.9,587.4,427.9,0.34,4.390997313753616,3.665763372480697,5.9510000000000005
23,2014-05-31 16:56:52.160,37.658341,-118.84886100000001,6.434,217.7,297.1,443.2,0.21,4.314075545624654,3.8753122939836855,6.287999999999999
24,2014-05-31 17:17:03.800,37.635628000000004,-118.87768600000001,8.366,-2326.6,-2223.9,2375.1,1.07,4.346692156424235,5.175893385734648,5.797999999999999
25,2014-05-31 17:24:38.800,37.661133,-118.84846200000001,6.3839999999999995,252.7,607.0,392.7,2.27,0.7057655450246003,1.7504138726070189,8.203
26,2014-05-31 17:53:48.640,37.660090999999994,-118.84835600000001,6.475,261.8,491.5,483.9,3.52,4.047688004192286,3.9724284747902323,7.221
27,2014-05-31 17:54:30.080,37.660099,-118.848307,6.49,266.6,492.3,498.3,0.62,4.183609102431995,4.182421454550306,5.539
28,2014-05-31 18:02:21.680,37.660429,-118.848413,6.474,256.8,529.1,483.1,0.25,4.048578560119201,3.641345599983559,7.01
29,2014-05-31 18:07:20.880,37.660672999999996,-118.84849399999999,6.454,249.8,555.7,462.5,0.76,4.332109303131252,4.310170916604114,5.914
30,2014-05-31 18:16:59.840,37.660738,-118.84850300000001,6.425,249.5,563.0,433.5,0.87,4.081195170918782,3.817930511653291,7.169
31,2014-05-31 18:51:53.020,37.65988,-118.848324,6.478,264.8,467.7,486.3,0.26,3.0384655007956427,0.8620541058915036,4.725
32,2014-05-31 19:07:54.160,37.660982000000004,-118.84835600000001,6.407,262.0,590.2,416.2,0.49,4.325764092157285,4.377430851932393,6.9079999999999995
33,2014-05-31 19:58:58.540,37.659534,-118.84839699999999,6.523,258.2,429.5,531.8,1.55,3.932583650728308,4.836818615264906,6.4910000000000005
34,2014-05-31 19:59:21.960,37.659371,-118.848519,6.505,247.4,411.5,513.8,0.44,4.506101667217592,3.7487838057964655,5.306
35,2014-05-31 20:03:32.740,37.659452,-118.84842900000001,6.52,255.9,420.3,528.7,1.15,4.113811781712698,3.4864037557845804,7.027
36,2014-05-31 20:13:15.500,37.659163,-118.848454,6.49,253.8,388.3,499.0,0.6,7.613362613317229,4.1896358023068325,6.532
37,2014-05-31 20:34:09.740,37.659383,-118.84808799999999,6.492000000000001,286.1,412.8,501.0,0.29,4.466249289519961,3.329242151943033,6.426
38,2014-05-31 21:10:23.660,37.659448,-118.848421,6.547999999999999,256.3,420.0,556.5,0.85,4.439977889694347,3.807053501258069,5.2589999999999995
39,2014-05-31 21:27:32.540,37.659644,-118.84838899999998,6.56,259.0,441.6,568.4,0.6,4.293147481360537,4.208615086783628,6.531000000000001
40,2014-05-31 21:43:59.320,37.659684000000006,-118.84834,6.24,263.7,446.1,248.4,0.8,4.330328191280251,4.38331332185302,6.84
41,2014-05-31 22:23:12.180,37.66049,-118.84811200000001,6.192,283.4,535.5,200.5,1.37,4.37474466810085,4.2144975551840504,6.081
